l_includes|l_model_number|l_series|l_color|l_type|l_suitable|l_power|l_gm_type|l_gm_capacity|l_processor_name|l_processor_generation|l_ssd|l_ssd_capacity|l_ram|l_ram_type|l_clock_speed|l_expandable_memory|l_graphic_processor|l_number_cores|l_Id_id|created_at|updated_at
Laptop, Power Adaptor, User Guide, Warranty Documents|UX325EA-KG701WS|ZenBook|Lilac Mist|Thin and Light Laptop|Processing & Multitasking|65W AC Adapter|No description available|No description available|Core i7|11th Gen|Yes|1 TB|16 GB|LPDDR4X|4.7|No description available|Intel Integrated Iris Xe Graphics|4.0|197||
Laptop, battery, adapter, cables and user manuals|Vostro 3510|Vostro|Black|Thin and Light Laptop|Everyday Use|No description available|No description available|No description available|Core i3|10th Gen|Yes|512 GB|8 GB|DDR4|3.4|16|Intel Integrated UHD Graphics|0.0|198||
Laptop, Power Adaptor, User Guide, Warranty Documents|UX325EA-KG502WS|ZenBook|Pine Grey|Thin and Light Laptop|Processing & Multitasking|65W AC Adapter|No description available|No description available|Core i5|11th Gen|Yes|512 GB|8 GB|LPDDR4X|4.2|No description available|Intel Integrated Iris Xe Graphics|4.0|199||
Laptop, Power Adaptor, User Guide, Warranty Documents|X415EA-EK342WS|VivoBook|Transparent Silver|Thin and Light Laptop|Processing & Multitasking|45W AC Adapter|No description available|No description available|Core i3|11th Gen|Yes|256 GB|8 GB|DDR4|4.1|No description available|Intel Integrated UHD Graphics|2.0|200||
Laptop, Battery, Adapter, Cables and User Manuals|Inspiron 3515|Inspiron|Platinum Silver|Thin and Light Laptop|Everyday Use|No description available|No description available|No description available|Ryzen 3 Dual Core|No description available|No|No description available|8 GB|DDR4|2.6 GHz to Max Turbo Frequency at 3.5 GHz|16|AMD Radeon AMD|2.0|201||
Laptop, Power Adaptor, User Guide, Warranty Documents|14s-dq3033tu|No description available|Jet Black|Thin and Light Laptop|Everyday Use, Processing & Multitasking|No description available|No description available|No description available|Pentium Quad Core|No description available|Yes|256 GB|8 GB|DDR4|1.1 GHz with Max Turbo Boost Frequency Up to 3.3 GHz|No description available|Intel Integrated UHD|4.0|202||
Laptop, Power Adaptor, User Guide, Warranty Documents|UX325EA-KG512WS|ZenBook|Pine Grey|Thin and Light Laptop|Processing & Multitasking|65W AC Adapter|No description available|No description available|Core i5|11th Gen|Yes|512 GB|16 GB|LPDDR4|4.2|No description available|Intel Integrated Iris Xe Graphics|4.0|203||
Laptop, Power Adaptor, User Guide, Warranty Documents|UX325EA-KG722WS|ZenBook|Pine Grey|Thin and Light Laptop|Processing & Multitasking|65W AC Adapter|No description available|No description available|Core i7|11th Gen|Yes|512 GB|16 GB|LPDDR4X|4.7 GHz|No description available|Intel Integrated Iris Xe Graphics|4.0|204||
Laptop, Battery, Power Adaptor, User Guide, Warranty Documents|UN5401QA-KN701WS|Zenbook 14 Flip|Jade Black|Thin and Light Laptop|Processing & Multitasking|100W AC Adapter|No description available|No description available|Ryzen 7 Octa Core|No description available|Yes|1 TB|16 GB|LPDDR4X|4.4|No description available|AMD Radeon AMD Radeon Graphics|8.0|205||
Laptop, battery, adapter, cables and user manuals|Vostro 3400|Vostro|Dune|Thin and Light Laptop|Everyday Use|No description available|No description available|No description available|Core i3|11th Gen|Yes|256 GB|8 GB|DDR4|4.1|16|Intel Integrated UHD Graphics|2.0|206||
